time, signal, pulse_flag
9, -42.10, 0
13, -36.68, 0
17, -23.60, 0
21, -2.64, 0
25, 21.93, 1
29, 44.79, 0
33, 63.00, 0
37, 76.47, 0
41, 85.59, 0
45, 89.23, 0
49, 86.70, 0
53, 79.83, 0
57, 72.27, 0
61, 66.61, 0
65, 62.28, 0
69, 57.79, 0
73, 53.41, 0
77, 50.78, 0
81, 50.66, 0
86, 51.08, 0
89, 49.86, 0
93, 47.08, 0
97, 44.65, 0
101, 43.78, 0
105, 42.99, 0
109, 40.56, 0
113, 36.93, 0
117, 34.11, 0
121, 33.24, 0
125, 32.78, 0
130, 30.89, 0
133, 27.93, 0
137, 25.77, 0
141, 25.40, 0
145, 25.32, 0
149, 23.81, 0
153, 21.29, 0
157, 19.61, 0
161, 19.66, 0
165, 19.97, 0
169, 18.82, 0
174, 16.72, 0
178, 15.46, 0
181, 15.83, 0
185, 16.36, 0
189, 15.34, 0
193, 13.38, 0
197, 12.25, 0
201, 12.68, 0
205, 13.26, 0
209, 12.01, 0
214, 9.52, 0
218, 7.53, 0
222, 7.05, 0
225, 6.98, 0
229, 5.67, 0
233, 3.82, 0
237, 3.08, 0
241, 4.16, 0
245, 5.63, 0
249, 5.64, 0
253, 4.76, 0
258, 4.64, 0
262, 5.98, 0
266, 7.37, 0
270, 7.08, 0
273, 5.81, 0
277, 5.30, 0
281, 6.31, 0
285, 7.41, 0
289, 6.93, 0
293, 5.62, 0
297, 5.21, 0
302, 6.38, 0
306, 7.64, 0
310, 7.26, 0
314, 6.01, 0
318, 5.63, 0
321, 6.82, 0
325, 8.06, 0
329, 7.64, 0
333, 6.36, 0
337, 5.99, 0
342, 7.15, 0
346, 8.31, 0
350, 7.79, 0
354, 6.42, 0
358, 5.97, 0
361, 7.09, 0
365, 8.20, 0
369, 7.64, 0
373, 6.29, 0
377, 5.93, 0
381, 7.17, 0
386, 8.37, 0
390, 7.89, 0
394, 6.60, 0
398, 6.29, 0
402, 7.54, 0
406, 8.68, 0
409, 8.09, 0
413, 6.72, 0
417, 6.33, 0
421, 7.47, 0
425, 8.45, 0
430, 7.70, 0
434, 6.23, 0
438, 5.86, 0
442, 7.12, 0
446, 8.27, 0
450, 7.71, 0
454, 6.42, 0
457, 6.18, 0
461, 7.48, 0
465, 8.54, 0
470, 7.85, 0
474, 6.46, 0
478, 6.20, 0
482, 7.53, 0
486, 8.64, 0
490, 7.98, 0
494, 6.62, 0
498, 6.39, 0
501, 7.74, 0
505, 8.81, 0
509, 8.10, 0
514, 6.70, 0
518, 6.44, 0
522, 7.75, 0
526, 8.75, 0
530, 7.93, 0
534, 6.46, 0
538, 6.20, 0
542, 7.55, 0
546, 8.63, 0
549, 7.92, 0
553, 6.57, 0
558, 6.41, 0
562, 7.81, 0
566, 8.86, 0
570, 8.07, 0
574, 6.64, 0
578, 6.42, 0
582, 7.77, 0
586, 8.75, 0
590, 7.89, 0
593, 6.41, 0
598, 6.16, 0
602, 7.49, 0
606, 8.42, 0
610, 7.49, 0
614, 5.98, 0
618, 5.70, 0
622, 6.98, 0
626, 7.86, 0
630, 6.90, 0
634, 5.40, 0
637, 5.20, 0
642, 6.59, 0
646, 7.56, 0
650, 6.68, 0
654, 5.25, 0
658, 5.09, 0
662, 6.48, 0
666, 7.39, 0
670, 6.44, 0
674, 4.98, 0
678, 4.83, 0
683, 6.22, 0
686, 7.09, 0
690, 6.08, 0
694, 4.58, 0
698, 4.42, 0
702, 5.86, 0
706, 6.79, 0
710, 5.96, 0
714, 4.66, 0
718, 4.85, 0
722, 6.73, 0
727, 8.11, 0
730, 7.60, 0
734, 6.45, 0
738, 6.41, 0
742, 7.62, 0
746, 8.02, 0
750, 6.37, 0
754, 4.24, 0
758, 3.56, 0
762, 4.56, 0
766, 5.14, 0
771, 3.99, 0
775, 2.56, 0
778, 2.63, 0
782, 4.26, 0
786, 5.27, 0
790, 4.34, 0
794, 2.99, 0
798, 3.07, 0
802, 4.67, 0
806, 5.59, 0
811, 4.58, 0
815, 3.16, 0
819, 3.20, 0
822, 4.76, 0
826, 5.64, 0
830, 4.58, 0
834, 3.14, 0
838, 3.16, 0
842, 4.70, 0
846, 5.51, 0
